match_key,structure,system_type,system_id,temp,avg_energy,energy_std,delta,phase,run_id,cluster,phase_clustered
pt8-2/pt8sn6-1-best/t1000.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.55370551,1.36536097,0.245651,liquid,,0,partition2
pt8-2/pt8sn6-1-best/t300.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.02557015,0.39114622,0.047442,solid,,1,partition1
pt8-2/pt8sn6-1-best/t400.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.69206363,0.51098184,0.071905,solid,,1,partition1
pt8-2/pt8sn6-1-best/t600.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.35801545,0.80253477,0.108567,premelting,,1,partition1
pt8-2/pt8sn6-1-best/t700.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.31853983,0.98961784,0.209821,liquid,,0,partition2
pt8-2/pt8sn6-1-best/t900.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.58152839,1.19288755,0.257732,liquid,,0,partition2
pt8-2/pt8sn6-1-best/t800.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95367.8643897,1.05394204,0.206016,liquid,,0,partition2
pt8-3/pt8sn6-1-best/t1100.r8.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1100,-95354.76990035,1.47231359,0.314616,liquid,,0,partition2
pt8-3/pt8sn6-1-best/t300.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.05656433,0.38843919,0.033418,solid,,1,partition1
pt8-3/pt8sn6-1-best/t400.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.70797627,0.51838454,0.096267,solid,,1,partition1
pt8-3/pt8sn6-1-best/t1000.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.19276575,1.36577921,0.256176,liquid,,0,partition2
pt8-3/pt8sn6-1-best/t600.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.29829496,0.78749884,0.168661,liquid,,1,partition1
pt8-3/pt8sn6-1-best/t500.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.50757127,0.66063545,0.109733,premelting,,1,partition1
pt8-3/pt8sn6-1-best/t700.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.33510363,1.00849779,0.209776,liquid,,0,partition2
pt8-3/pt8sn6-1-best/t800.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95367.92811298,1.1252045,0.22117,liquid,,0,partition2
pt8-3/pt8sn6-1-best/t900.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.50128236,1.17348244,0.251488,liquid,,0,partition2
pt8/pt8sn6-1-best/t1000.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.49480623,1.33482765,0.235854,liquid,,0,partition2
pt8/pt8sn6-1-best/t300.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.05512633,0.38786214,0.033123,solid,,1,partition1
pt8/pt8sn6-1-best/t500.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.62865375,0.63673877,0.08309,solid,,1,partition1
pt8/pt8sn6-1-best/t400.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.68005759,0.52040108,0.091536,solid,,1,partition1
pt8/pt8sn6-1-best/t600.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.43898653,0.78360091,0.079878,solid,,1,partition1
pt8/pt8sn6-1-best/t800.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.06760413,1.05773308,0.157481,liquid,,0,partition2
pt8/pt8sn6-1-best/t900.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.95818584,1.19454168,0.188017,liquid,,0,partition2
pt8-2/pt8sn6-1-best/t1100.r9.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1100,-95354.91860677,1.49954643,0.284687,liquid,,0,partition2
pt8-2/pt8sn6-1-best/t1000.r8.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.31046447,1.38275469,0.295273,liquid,,0,partition2
pt8-2/pt8sn6-1-best/t200.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.12565492,0.26216918,0.064061,solid,,1,partition1
pt8-2/pt8sn6-1-best/t300.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.03571206,0.39195396,0.04395,solid,,1,partition1
pt8-2/pt8sn6-1-best/t400.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95385.10076179,0.61801298,0.083904,solid,,1,partition1
pt8-2/pt8sn6-1-best/t500.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.65152275,0.6446608,0.080132,solid,,1,partition1
pt8-2/pt8sn6-1-best/t700.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.26243873,0.95408067,0.234975,liquid,,0,partition2
pt8-2/pt8sn6-1-best/t800.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95367.92344463,1.14934942,0.227318,liquid,,0,partition2
pt8-2/pt8sn6-1-best/t900.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.73119187,1.23163013,0.23044,liquid,,0,partition2
pt8-2/pt8sn6-1-best/t600.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.3986718,0.79443461,0.141662,premelting,,1,partition1
pt8-3/pt8sn6-1-best/t1000.r8.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.38838346,1.34465346,0.313194,liquid,,0,partition2
pt8-3/pt8sn6-1-best/t1100.r9.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1100,-95355.06034166,1.49714704,0.270227,liquid,,0,partition2
pt8-3/pt8sn6-1-best/t200.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.09971226,0.25676671,0.060903,solid,,1,partition1
pt8-3/pt8sn6-1-best/t300.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.04255225,0.39064445,0.038499,solid,,1,partition1
pt8-3/pt8sn6-1-best/t400.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.66453871,0.51467023,0.103609,premelting,,1,partition1
pt8-3/pt8sn6-1-best/t500.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.6428068,0.64232642,0.080773,solid,,1,partition1
pt8-3/pt8sn6-1-best/t700.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.31080602,0.9470026,0.171169,liquid,,0,partition2
pt8-3/pt8sn6-1-best/t600.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.35815475,0.79145247,0.09491,solid,,1,partition1
pt8-3/pt8sn6-1-best/t800.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95367.81043735,1.07211091,0.257941,liquid,,0,partition2
pt8-3/pt8sn6-1-best/t900.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.74017402,1.16016938,0.244218,liquid,,0,partition2
pt8-4/pt8sn6-1-best/t1000.r8.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.26350964,1.36948193,0.291474,liquid,,0,partition2
pt8-4/pt8sn6-1-best/t200.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.10795197,0.25577739,0.02613,solid,,1,partition1
pt8-4/pt8sn6-1-best/t300.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.04608433,0.39045049,0.039119,solid,,1,partition1
pt8-4/pt8sn6-1-best/t400.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.67039928,0.51447567,0.081157,solid,,1,partition1
pt8-4/pt8sn6-1-best/t500.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.65597376,0.64990676,0.077838,solid,,1,partition1
pt8-4/pt8sn6-1-best/t600.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.21111837,0.80018439,0.124278,premelting,,1,partition1
pt8-4/pt8sn6-1-best/t700.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.51281115,0.95998884,0.165887,liquid,,0,partition2
pt8-4/pt8sn6-1-best/t1100.r9.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1100,-95354.83454776,1.46937414,0.266098,liquid,,0,partition2
pt8-4/pt8sn6-1-best/t800.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.00570587,1.06825989,0.219368,liquid,,0,partition2
pt8-4/pt8sn6-1-best/t900.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.68580399,1.19388212,0.245307,liquid,,0,partition2
pt8/pt8sn6-1-best/t1000.r8.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.35718439,1.35308143,0.286018,liquid,,0,partition2
pt8/pt8sn6-1-best/t200.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.09249482,0.25596369,0.047021,solid,,1,partition1
pt8/pt8sn6-1-best/t1100.r9.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1100,-95354.89003553,1.50313307,0.299521,liquid,,0,partition2
pt8/pt8sn6-1-best/t300.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.05595784,0.38772633,0.040065,solid,,1,partition1
pt8/pt8sn6-1-best/t500.r3.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.60734606,0.65091751,0.085489,solid,,1,partition1
pt8/pt8sn6-1-best/t600.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.55596751,0.80968534,0.155374,liquid,,1,partition1
pt8/pt8sn6-1-best/t700.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.20412872,0.93832326,0.235918,liquid,,0,partition2
pt8/pt8sn6-1-best/t800.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.00059561,1.0857221,0.181128,liquid,,0,partition2
pt8/pt8sn6-1-best/t400.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.71516232,0.52329132,0.096222,solid,,1,partition1
pt8/pt8sn6-1-best/t900.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.84840163,1.20860192,0.159047,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t1000.r25.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.50413169,1.32690864,0.254451,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t1000.r24.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1000,-95359.52956764,1.3986844,0.247468,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t200.r0.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.09023013,0.2571646,0.049868,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t200.r2.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.1818959,0.25804215,0.05668,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t1100.r27.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1100,-95355.01595459,1.50772833,0.333889,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t200.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.09653357,0.25735682,0.042992,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t300.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.04190788,0.38948678,0.045004,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t500.r10.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.61909949,0.64593302,0.088663,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t400.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.74170778,0.52642468,0.060485,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t300.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.0533851,0.3896414,0.03436,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t500.r9.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.6261171,0.6386825,0.082405,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t500.r11.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.61389248,0.63973268,0.091379,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t700.r15.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.430235,0.99170609,0.144665,premelting,,0,partition2
run3/pt8/pt8sn6-1-best/t600.r14.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.39628382,0.78449528,0.089787,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t700.r17.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.10402857,0.91316859,0.126837,premelting,,1,partition1
run3/pt8/pt8sn6-1-best/t900.r22.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.88962326,1.21954789,0.201393,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t800.r18.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.02502007,1.10717761,0.222952,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t400.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.75892871,0.51561524,0.08786,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t700.r16.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.17346435,0.95355109,0.186892,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t600.r13.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.39735597,0.78549412,0.088427,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t800.r19.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.090069,1.07197043,0.217456,liquid,,0,partition2
